City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
132,Labuhan,ID,77.77,-6.8844,112.2051,DoubleFAG
133,Bacalar,MX,84.31,18.6667,-88.3833,Hotel Laguna Bacalar
134,Zhucheng,CN,75.79,35.9947,119.3975,Fanrong Hotel
135,Zurrieq,MT,89.11,35.8311,14.4742,Ta'Bertu Guest House
136,Sterling,US,88.38,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
137,Santa Rosalia,MX,85.35,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
138,Santa Cruz,BO,75.25,-17.8,-63.1667,Aviador Hotel Boutique
139,Bardsir,IR,87.93,29.9227,56.5743,Sajjad hotel
140,Natal,BR,80.82,-5.795,-35.2094,Villa Park Hotel | Natal
141,Lincoln,US,81.12,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
142,Gasa,PS,89.89,31.5,34.4667,رابطة الفنانين الفلسطينيين
143,Salihorsk,BY,75.18,52.7876,27.5415,Apartment on Parkovoy 26
144,Gorontalo,ID,75.76,0.5412,123.0595,Maqna Hotel by Prasanthi
145,Toamasina,MG,75.2,-18.1667,49.3833,Hotel H1
146,Sur,OM,89.89,22.5667,59.5289,Sur Plaza Hotel
147,Dakar,SN,88.68,14.6937,-17.4441,Novotel Dakar
148,Tura,IN,76.37,25.5198,90.2201,Hotel RIKMAN Continental
149,Rabak,SD,87.46,13.1809,32.74,فندق ربك Rabak Hotel
150,Deming,US,75.09,32.2687,-107.7586,Best Western Deming Southwest Inn
152,Kavieng,PG,81.72,-2.5744,150.7967,Nusa Island Retreat
153,Waingapu,ID,75.07,-9.6567,120.2641,Pondok Wisata Elim
154,Fukue,JP,78.1,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
155,Backnang,DE,85.89,48.95,9.4333,Hotel Am Südtor
157,Rivne,UA,77.07,50.6231,26.2274,Myr Hotel
158,Omboue,GA,78.66,-1.5746,9.2618,Hotel Olako
159,Victoria,HK,89.19,22.2855,114.1577,Mini Central
160,Sungai Besar,MY,79.52,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
161,Bathsheba,BB,86.61,13.2167,-59.5167,Atlantis Hotel
162,Lasa,IT,88.7,46.6166,10.7002,Pension Feldgärtenhof
163,Naze,JP,81.52,28.3667,129.4833,Shishime Hotel
164,Guayaramerin,BO,78.85,-10.8368,-65.3614,Hostal Funf
165,Azare,NG,89.62,11.6765,10.1948,Mallam Ayuba Compound
167,Lata,PT,85.5,40.1629,-8.3327,Casa Maquia
168,Currais Novos,BR,81.3,-6.2608,-36.5178,Sâmily Flat Hotel
169,Kota Kinabalu,MY,84.18,5.9749,116.0724,Gaya Centre Hotel
170,Caravelas,BR,78.33,-17.7125,-39.2481,Pousada dos Navegantes
171,Cockburn Town,TC,84.16,21.4612,-71.1419,Osprey Beach Hotel
172,Topeka,US,79.97,39.0483,-95.678,Hotel Topeka At City Center
173,Dzilam Gonzalez,MX,83.37,21.2833,-88.9333,posadas
174,Zhuhai,CN,85.78,22.2769,113.5678,珠海粤财假日酒店
175,Ayotzintepec,MX,79.29,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
176,Indramayu,ID,80.98,-6.3264,108.32,Grand Trisula Hotel
177,Faanui,PF,76.82,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
178,Kombissiri,BF,85.98,12.0656,-1.3375,Mitibkieta Annexe
179,Piacabucu,BR,79.54,-10.4056,-36.4344,Piaçabuçu News
180,Palmer,US,86.25,42.1584,-72.3287,Wedgewood Motel
181,Krasnoborsk,RU,76.39,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
182,Hals,DK,78.01,56.9961,10.3081,Hals Hotel
183,Petatlan,MX,83.66,17.5167,-101.2667,Hotel California Petatlán
184,Trincomalee,LK,83.21,8.5711,81.2335,Welcombe Hotel
185,Black River,JM,85.46,18.0264,-77.8487,Idlers' Rest Beach Hotel
186,Ponta Delgada,PT,78.49,37.7333,-25.6667,Vila Nova Hotel
187,Punta Umbria,ES,89.24,37.1821,-6.9661,Barceló Punta Umbría Beach Resort
188,Oranjestad,AW,84.15,12.524,-70.027,Divi Village Golf & Beach Resort
190,Seda,LV,83.05,57.65,25.75,Nakts mājas
191,Placido De Castro,BR,85.5,-10.3353,-67.1856,Hotel Carioca
192,Prado,BR,78.37,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
193,Ormara,PK,84.18,25.2088,64.6357,Kenara Colony House for Rent
194,Vila,PT,83.7,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
195,Mayen,DE,79.63,50.3333,7.2167,Hotel-Restaurant Zum Alten Fritz
196,Rio Formoso,BR,78.03,-8.6636,-35.1586,Hotel Praia dos Carneiros
197,Shimoda,JP,79.07,34.6667,138.95,Shimoda Tokyu Hotel
198,Kavaratti,IN,81.1,10.5669,72.642,Green leaf
199,Santo Domingo,DO,86.04,18.5001,-69.9886,Cabañas City Heart
200,Basco,PH,85.51,20.4487,121.9702,Nathaniel's Lodge
201,Harlingen,US,84.94,26.1906,-97.6961,Courtyard by Marriott Harlingen
202,Gloversville,US,84.11,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
203,Loukhi,RU,79.47,66.0764,33.0381,Хостел Северяночка
204,Bakel,SN,78.66,14.905,-12.4568,Ablaye Diallo Bakel
205,Dohrighat,IN,85.68,26.2644,83.5164,"Hotel Shahi Palace, & Beer Bar,"
206,Nieves,PH,83.71,15.3274,120.9485,Bill's Inn
207,Arvika,SE,84.81,59.6553,12.5852,Clarion Collection Hotel Bristol
208,Mayo,US,89.01,38.8876,-76.5119,Resorts Resource Group International
