City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Zhizdra,RU,2022-07-21 13:50:16,53.746,34.7395,64.94,84,51,12.77
212,Harper,LR,2022-07-21 13:50:16,4.375,-7.7169,78.08,65,70,8.01
213,Airai,TL,2022-07-21 13:50:17,-8.9266,125.4092,58.14,90,99,3.27
214,Nynashamn,SE,2022-07-21 13:50:17,58.9034,17.9479,93.16,69,21,10.54
215,Urengoy,RU,2022-07-21 13:50:17,65.9667,78.3667,48.07,81,100,6.11
216,Husavik,IS,2022-07-21 13:50:17,66.0449,-17.3389,52.27,74,56,8.86
217,Tabou,CI,2022-07-21 13:50:18,4.423,-7.3528,78.44,64,73,7.94
218,Neulengbach,AT,2022-07-21 13:50:18,48.1974,15.9022,98.15,44,26,11.01
219,Chapais,CA,2022-07-21 13:50:19,49.7834,-74.8492,67.78,88,68,12.75
220,Puerto Ayora,EC,2022-07-21 13:50:19,-0.7393,-90.3518,69.55,95,86,7.0
221,Touros,BR,2022-07-21 13:50:19,-5.1989,-35.4608,82.87,62,58,14.27
222,Bethel,US,2022-07-21 13:49:36,41.3712,-73.414,86.65,76,0,5.75
223,Tilichiki,RU,2022-07-21 13:50:19,60.4667,166.1,48.02,73,0,2.82
224,Hobyo,SO,2022-07-21 13:50:20,5.3505,48.5268,78.73,72,56,26.71
225,Andenes,NO,2022-07-21 13:50:20,69.3143,16.1194,57.92,82,75,10.36
226,Nha Trang,VN,2022-07-21 13:50:20,12.25,109.1833,80.6,89,61,5.3
227,Thompson,CA,2022-07-21 13:50:21,55.7435,-97.8558,59.16,94,100,9.22
228,Rocha,UY,2022-07-21 13:48:26,-34.4833,-54.3333,61.77,84,52,9.69
229,College,US,2022-07-21 13:50:24,64.8569,-147.8028,55.22,80,75,0.0
230,Okhotsk,RU,2022-07-21 13:50:24,59.3833,143.3,53.82,92,99,1.36
231,Gold Coast,AU,2022-07-21 13:50:25,-28.0,153.4333,61.25,94,75,20.71
232,Sena Madureira,BR,2022-07-21 13:50:25,-9.0656,-68.6569,84.2,42,3,0.65
233,Itaituba,BR,2022-07-21 13:50:25,-4.2761,-55.9836,87.96,66,20,2.3
234,Itacoatiara,BR,2022-07-21 13:45:44,-3.1431,-58.4442,81.5,83,46,2.82
235,Port Blair,IN,2022-07-21 13:50:25,11.6667,92.75,81.09,85,100,15.03
236,Jamame,SO,2022-07-21 13:50:26,0.0722,42.7506,79.57,68,34,17.45
237,Rantauprapat,ID,2022-07-21 13:50:26,2.1,99.8333,75.15,97,74,2.46
238,Aksarka,RU,2022-07-21 13:50:26,66.5606,67.7975,58.69,43,9,16.06
